step_id,description,imageUrl,recipe_id
5,Обжаривайте сырники 1–2 минуты до появления золотистой корочки. Затем переверните их на другую сторону и также обжарьте до золотистого состояния.,https://s1.eda.ru/StaticContent/Photos/110811142241/170314165131/p_O.png,18506
6,"Повторяйте, пока творог не закончится.",https://s1.eda.ru/StaticContent/Photos/110811142241/1703141651310/p_O.png,18506
1,"Смешать яйца с солью, молотым мускатным орехом и паприкой.",https://s1.eda.ru/StaticContent/Photos/150317164033/150323191640/p_O.jpg,17602
2,"Разобрать брокколи на соцветия, перец очистить от кожицы и нарезать тонкой соломкой. Лук нарезать тонкими полукольцами.",https://s1.eda.ru/StaticContent/Photos/150317164033/150323191641/p_O.jpg,17602
3,"Чеснок и петрушку мелко нарубить, смешать их с соком лимона и оливковым маслом.",https://s1.eda.ru/StaticContent/Photos/150317164033/150323191825/p_O.jpg,17602
4,"Нарезанный лук обжарить на сливочном масле до мягкости, добавить брокколи, обжаривать минуту, после чего отправить туда же перец, жарить еще минуту, добавить щепотку листьев тимьяна, через минуту петрушку с чесноком в лимонном соке и масле, а через тридцать секунд залить яйцами. ",https://s1.eda.ru/StaticContent/Photos/150317164033/150323191827/p_O.jpg,17602
5,"Когда яйца начнут застывать, отправить сковороду в разогретую до 180 градусов духовку на семь-десять минут. Подавать, посолив, поперчив и посыпав листиками тимьяна.",https://s1.eda.ru/StaticContent/Photos/150317164033/150323191828/p_O.jpg,17602
1,"Порезать овощи крупно, салат порвать на  куски.",https://s1.eda.ru/StaticContent/Photos/110811170903/170314185702/p_O.png,21742
2,"Для креветок: Довести до кипения  сильно соленую воду с красным  и черным перцем, оливковым маслом и  половинкой лимона ( сок предварительно выжать в воду).",https://s1.eda.ru/StaticContent/Photos/110811170903/1703141857020/p_O.png,21742
3,Добавить креветки. После кипения варить 5 минут.,https://s1.eda.ru/StaticContent/Photos/110811170903/170314185703/p_O.png,21742
4,Очистить креветки от панциря.,https://s1.eda.ru/StaticContent/Photos/110811170903/1703141857030/p_O.png,21742
5,Смешать овощи  и креветки.,https://s1.eda.ru/StaticContent/Photos/110811170903/170314185704/p_O.png,21742
6,Посыпать кунжутными семечками и заправить майонезом.,https://s1.eda.ru/StaticContent/Photos/110811170903/1703141857040/p_O.png,21742
1,"Огурцы тщательно очистить от кожи и нарезать крупными полукруглыми ломтиками. Сложить в глубокий салатник или широкую миску, в которой будет удобно смешивать.",https://s1.eda.ru/StaticContent/Photos/130713154821/190725203059/p_O.jpg,30893
2,"Помидоры нарезать крупными дольками. Добавить в салатник к огурцам и перемешать. Мешать при этом греческий салат лучше всего руками, подливая на каждом этапе понемногу оливкового масла.",https://s1.eda.ru/StaticContent/Photos/130713154821/190725203100/p_O.jpg,30893
3,Сладкий зеленый перец очистить от семян и перепонок и нарезать крупными кубиками. Добавить в салатник. Перемешать с другими овощами.,https://s1.eda.ru/StaticContent/Photos/130713154821/190725203101/p_O.jpg,30893
4,"Красный лук нарезать тонкими полукольцами, а затем руками разделить на тонкие лепестки. Переложить к остальным овощам, снова все перемешать.",https://s1.eda.ru/StaticContent/Photos/130713154821/190725203102/p_O.jpg,30893
5,"Добавить в салатник маслины без косточек (можно купить уже избавленные от косточек маслины, а можно очистить их самостоятельно, раздавив плоской стороной ножа каждую маслину и вынув косточку).",https://s1.eda.ru/StaticContent/Photos/130713154821/190725203103/p_O.jpg,30893
6,"Твердую фету нарезать острым ножом на прямоугольные ломтики толщиной в 1 см. Чтобы сыр не прилипал к лезвию, нож можно предварительно окунуть в теплую воду.",https://s1.eda.ru/StaticContent/Photos/130713154821/190725203104/p_O.jpg,30893
7,Еще раз перемешать овощи в салатнике и разложить по тарелкам. Сверху на каждую порцию выложить по 2 ломтика феты. Щедро полить оливковым маслом.,https://s1.eda.ru/StaticContent/Photos/130713154821/190725203105/p_O.jpg,30893
8,"Слегка посолить салат и посыпать сушеным орегано. Сверху еще раз сбрызнуть оливковым маслом и подавать немедленно, пока овощи не пустили сок.",https://s1.eda.ru/StaticContent/Photos/130713154821/190725203106/p_O.jpg,30893
1,"Нут замочить на ночь (или на 4–6 часов). После слить воду, отварить до готовности в свежей чуть подсоленной воде 60–90 минут. Аккуратно. Не переварите.",https://s1.eda.ru/StaticContent/Photos/110812141030/170314191307/p_O.png,22649
2,"Баклажаны нарезать на крупные кубики, обжарить на оливковом масле со всех сторон до румяной корочки, посолить и тушить до мягкости/готовности. Остудить.",https://s1.eda.ru/StaticContent/Photos/110812141030/1703141913070/p_O.png,22649
3,"Кинзу, петрушку и чеснок измельчить, добавить паприку, зиру, оливковое масло, уксус и лимонный сок.",https://s1.eda.ru/StaticContent/Photos/110812141030/170314191308/p_O.png,22649
4,"Нут, баклажаны и заправку смешать, посолить. Дать настояться в холодильнике часа 2.",https://s1.eda.ru/StaticContent/Photos/110812141030/170314191309/p_O.png,22649
1,"Растопить в глубокой сковороде сливочное масло (80 г) и обжарить на нем мелко нарубленный лук. Лук должен стать совершенно мягким и полупрозрачным. Всыпать рис и обжаривать его несколько минут, постоянно помешивая. Добавить мелко нарубленный чеснок, перемешать, потомить вместе с рисом, маслом и луком; как только чеснок практически растворится в массе риса и лука и начнет издавать свой характернейший из запахов, влить в сковороду сухой херес, перемешать с рисом и овощами и, убрав до минимума огонь, выпаривать алкоголь, постоянно помешивая. ",https://s1.eda.ru/StaticContent/Photos/170210144850/170306153843/p_O.jpg,15911
2,"Как только о присутствии хереса станет напоминать исключительно его аромат, влить в сковороду треть бульона, перемешать содержимое сковороды, чтобы бульон проник во все самые тайные норки, и варить рис на медленном огне, доливая бульон по мере его выкипания. ",https://s1.eda.ru/StaticContent/Photos/170210144850/170306153844/p_O.jpg,15911
3,На оставшемся сливочном масле обжарить мелко нарезанные и очищенные от семечек и прочих внутренних излишеств перцы. Перцы должны стать мягкими и начать пахнуть жареным. ,https://s1.eda.ru/StaticContent/Photos/170210144850/170306153845/p_O.jpg,15911
4,"Всыпать перцы в сковороду с полуготовым ризотто, посолить, поперчить, перемешать, долить бульон и продолжать ту же канитель с варкой — помешивать, доливать бульон.",https://s1.eda.ru/StaticContent/Photos/170210144850/170306153846/p_O.jpg,15911
5,"Когда рис будет практически готов, вмешать в него сливки. Выключить огонь и еще примерно минуту помешивать содержимое сковороды, чтобы добиться кремовой консистенции ризотто. ",https://s1.eda.ru/StaticContent/Photos/170210144850/170306153847/p_O.jpg,15911
6,"Подавать, посыпав листочками тимьяна.",https://s1.eda.ru/StaticContent/Photos/170210144850/170306153849/p_O.jpg,15911
1,"Помидоры среднего размера нарезать кольцами толщиной около сантиметра. Разогреть сковороду, влить чуть-чуть оливкового масла и обжарить ломтики томатов до появления корочки, а затем снять с огня.",https://s1.eda.ru/StaticContent/Photos/120131082227/170417073330/p_O.jpg,31055
2,"Смешать натуральный йогурт с 50 мл оливкового масла. Зубчик чеснока раздавить ножом, разобрать на волокна и мелко нарезать. Добавить нарубленный чеснок к йогурту с маслом, посолить и поперчить по вкусу.",https://s1.eda.ru/StaticContent/Photos/120131082227/170417073331/p_O.jpg,31055
3,"Заправить получившимся соусом смесь салатных листьев, украсить кольцами обжаренных томатов и подавать, когда они чуть остынут — или еще горячими, это уже дело вкуса.",https://s1.eda.ru/StaticContent/Photos/120131082227/1704170733310/p_O.jpg,31055
1,"Кабачки очистить от семечек и поролоновых внутренностей (если вы используете цукини, эту хирургическую операцию можно не проводить), нарезать крупными кусками (3–4 см). Лук мелко нарубить. А помидоры нарезать примерно вдвое меньшими кусочками по срав­нению с кабачками.",,15671
2,Разогреть в глубоком сотейнике смесь растительного и оливкового масла и обжарить лук до мягкости.,,15671
3,"Всыпать в сотейник с луком кабачки и, помешивая, дождаться того момента, когда они пустят сок. Тогда добавить к ним в компанию помидоры, перемешать. Тушить на быстром огне минуты 2–3. Уменьшить огонь, всыпать в сотейник сахар, добавить душистый перец и лавровый лист. Тушить еще 3 минуты. Потом посолить. Перемешать, стараясь не превратить содержимое сотейника в кабачковую икру или кашу. Тушить еще 2 минуты.",,15671
4,"Тем временем мелко нарубить петрушку, очистить чеснок. Заправить рагу давленым чесноком и петрушкой, приправить молотым перцем, перемешать и сразу снять с огня. Подавать с холодной жирной сметаной. Лавровый лист и душистый перец, чтобы потом не попадали в тарелку, можно класть в рагу, запаковав в мешочек из марли.",,15671
1,"Печень промыть. Если есть время вымочить в молоке минут 20, будет еще нежнее. Если времени нет, то можно и не вымачивать. Обрезать прожилки. Порезать на небольшие кусочки.",https://s1.eda.ru/StaticContent/Photos/130822102925/190819151712/p_O.jpg,31593
2,Обжарить до золотистого цвета мелко порубленный репчатый лук на сливочном масле.,https://s1.eda.ru/StaticContent/Photos/130822102925/190819151713/p_O.jpg,31593
3,"Добавить печень. Обжаривать минут 5–7, пока не пропадет красный цвет. Посолить, поперчить.",https://s1.eda.ru/StaticContent/Photos/130822102925/190819151714/p_O.jpg,31593
4,Залить сметаной. Тушить на среднем огне минут 10.,https://s1.eda.ru/StaticContent/Photos/130829212936/190819151715/p_O.jpg,31593
1,Куриные бедра нарубить на куски помельче и обжарить в глубокой сковороде на оливковом масле до полуготовности.,https://s1.eda.ru/StaticContent/Photos/170210144850/170306161522/p_O.jpg,17276
2,"Лук мелко нарубить и обжарить вместе с курицей. Когда лук станет мягким, добавить мелко нарезанный чеснок и рис. Жарить все это в течение двух-трех минут. После чего всыпать в сковороду мелко нарезанные перец и помидоры. Перемешать и тушить еще минуту-другую, помешивая, чтобы содержимое сковороды не подгорало.",https://s1.eda.ru/StaticContent/Photos/170210144850/170306161523/p_O.jpg,17276
3,"Параллельно надо разогреть куриный бульон и развести в нем щепотку шафрана. Этим самым бульоном залить рис с овощами и курицей, посолить, поперчить и бросить туда же несколько горошин черного перца и варить ­десять минут на небольшом огне. Бульон может выкипать интенсивнее, чем вы планировали, его недостаток можно восполнять дополнительными инъекциями куриного бульона, воды или белым сухим вином.",https://s1.eda.ru/StaticContent/Photos/170210144850/170306161524/p_O.jpg,17276
4,"Дальше в рис нужно добавить горошек, перемешать, выложить сверху креветки, полить лимонным соком, посыпать рубленой петрушкой и за три-четыре минуты довести паэлью до готовности на том же медленном огне, накрыв крышкой.",https://s1.eda.ru/StaticContent/Photos/170210144850/170306161525/p_O.jpg,17276
5,Подавать с розовым каталонским или валенсийским вином. Очень холодным.,,17276
1,"Муку смешать с солью, влить четверть стакана теплой воды и перемешать. Влить оставшуюся воду, постоянно помешивая. Замесить крутое тесто.",https://s1.eda.ru/StaticContent/Photos/150506002001/150512183046/p_O.png,50481
2,Измельчить зелень и перемешать со 100 граммами растопленного масла.,https://s1.eda.ru/StaticContent/Photos/150506002001/150512183047/p_O.png,50481
3,"Тесто разделить на четыре равные части, каждую из которых раскатать в тонкий блин — толщиной около 1 миллиметра.",https://s1.eda.ru/StaticContent/Photos/150506002001/150512183048/p_O.png,50481
4,"Выложить начинку на половину раскатанного теста, накрыть второй половиной и запечатать края с помощью вилки. Важно добиться того, чтобы внутри осталось как можно меньше воздуха.",https://s1.eda.ru/StaticContent/Photos/150506002001/150512183049/p_O.png,50481
5,"Выложить кутабы на разогретую сухую сковороду, обжаривать по 2–3 минуты с каждой стороны на медленном огне. Смазать готовые кутабы сливочным маслом.",https://s1.eda.ru/StaticContent/Photos/150506002001/150512183051/p_O.png,50481
1,"Мелко нарезать лук, помидоры и болгарский перец, добавить кукурузу (по желанию), обжарить все на небольшом количестве масла, переложить в миску, по желанию, можно добавить мелконарезанный укроп (для свежести).",https://s1.eda.ru/StaticContent/Photos/170225172301/200120100259/p_O.png,39152
2,"Куриное филе нарезать тонкими брусочками (не более 1 см толщиной) и обжарить в оливковом масле на сильном огне в течение 2–3 минут, помешивая. Добавить томатную пасту, соль и перец, перемешать, подержать на огне еще 1 минуту и переложить мясо к овощам.",https://s1.eda.ru/StaticContent/Photos/170225172301/200120100300/p_O.png,39152
3,"Сыр чеддер натереть на крупной терке (также это может быть пармезан, гауда или другой твердый/полутвердый сыр).",https://s1.eda.ru/StaticContent/Photos/170225172301/200120100301/p_O.png,39152
4,"В тортилью на половину посыпать сыр, затем выложить начинку, сверху — еще слой сыра, накрыть второй половиной тортильи, разрезать пополам (как на картинке) и обжарить на сковороде или гриле в течение 2–3 минут  одной стороны, затем аккуратно перевернуть и поджарить с другой стороны еще 1–2 минуты.",https://s1.eda.ru/StaticContent/Photos/170225172301/200120100302/p_O.png,39152
1,"Свежее манго очистить от кожи, вырезать косточку, а мякоть нарезать небольшими кубиками. На тарелки выложить по две-три горсти свежих салатных листьев, а сверху на них — кубики манго.",https://s1.eda.ru/StaticContent/Photos/140124100744/140131130011/p_O.jpg,23847
2,"Приготовить заправку. Для этого взбить в небольшой миске вилкой дижонскую горчицу, потихоньку вливая оливковое масло. Добавить к этой смеси мед и следом обычную острую горчицу. Хорошо размешать.",https://s1.eda.ru/StaticContent/Photos/140124100744/140131130012/p_O.jpg,23847
3,На небольшой сковороде разогреть растительное масло и быстро обжарить на нем кусочки куриной печени со всех сторон до появления яркой румяной корочки. Посолить и поперчить по вкусу.,https://s1.eda.ru/StaticContent/Photos/140124100744/140131130013/p_O.jpg,23847
4,Готовые кусочки печени аккуратно разложить по тарелкам и щедро полить салат сверху горчично-медовые заправкой — по семь-восемь столовых ложек соуса на порцию.,https://s1.eda.ru/StaticContent/Photos/140124100744/140131130014/p_O.jpg,23847
5,"Подавать салат сразу, пока куриная печень не остыла, а зеленые листья не сникли. При желании каждую порцию салата можно дополнительно посыпать свежемолотым черным перцем.",https://s1.eda.ru/StaticContent/Photos/140124100744/1401311300140/p_O.jpg,23847
1,Срежьте кочерыжку и старые листья с капусты. Тонко нашинкуйте и переложите в большую миску. ,https://s1.eda.ru/StaticContent/Photos/110811170903/170314171856/p_O.png,19416
2,"На терке натрите морковь и редьку и смешайте с капустой. Добавьте мелко нарезанный перец, зеленый лук и петрушку.",https://s1.eda.ru/StaticContent/Photos/110811170903/1703141718560/p_O.png,19416
3,"Перед подачей заправьте майонезом, посыпьте солью и хорошо перемешайте.",https://s1.eda.ru/StaticContent/Photos/110811170903/170314171857/p_O.png,19416
1,Картошку очистить и нарезать тонкими круглыми ломтиками.,https://s1.eda.ru/StaticContent/Photos/151124224236/151203165737/p_O.jpg,16911
2,"Лук нарезать полукольцами и в глубокой сковороде на смеси растительного и сливочного масла обжарить до мягкости, потом добавить в ту же сковороду картошку и жарить овощи до тех пор, пока картошка не станет мягкой, но еще до конца не приготовится.",https://s1.eda.ru/StaticContent/Photos/151124224236/151203165739/p_O.jpg,16911
3,"В глубокой миске взбить яйца с солью и перцем. Пересыпать из сковороды в миску полуготовую картошку с луком и перемешать овощи с яйцами и, предварительно нарезанной кинзой.",https://s1.eda.ru/StaticContent/Photos/151124224236/151203165740/p_O.jpg,16911
4,"Вывалить содержимое миски обратно в сковороду и поставить ее на плиту на пять минут. За это время разогреть духовку до 180 градусов и переместить сковороду туда. Дать тортилье три-четыре минуты, чтобы подрумянилась.",https://s1.eda.ru/StaticContent/Photos/151124224236/151203165741/p_O.jpg,16911
5,"Достать из духовки, нарезать ломтями и подавать с белым хлебом, смазанным оливковым маслом и давленым чесноком.",https://s1.eda.ru/StaticContent/Photos/151124224236/151203165743/p_O.jpg,16911
1,"Нарезать мелко луковицу, четыре зубчика чеснока и один острый перец чили. На оливковом масле обжарить лук, чеснок и чили. Можно кинуть щепотку сахара, чтобы карамелизовать овощи и дать сладкую оттяжку помидорам, которые появятся впоследствии в соусе. Добавить шепотку орегано, чуть-чуть кумина и жарить лук с чесноком и перцем до тех пор, пока они не начнут плакать или, как говорят французы,— потеть. Зажаривать сильно не нужно, давать карамельного цвета — тоже.",https://s1.eda.ru/StaticContent/Photos/160608133558/160616142633/p_O.jpg,69608
2,"Теперь надо вывалить банку протертых консервированных помидоров и обжаривать их вместе с луком и прочим, помешивая, примерно минуту. Долить воды или томатного соуса, чтобы сделать соус достаточно жидким и тушить минуту-другую. ",https://s1.eda.ru/StaticContent/Photos/160608133558/160616142638/p_O.jpg,69608
3,"Добавить соль, черный или белый молотый перец и петрушку. Аккуратно разбить в соус яйца, так, чтобы они не растеклись, а лежали — каждое в своей лунке. Добавить кусочки феты или другого мягкого солоноватого сыра. Огонь под сковородкой можно убрать до минимума. А потом и вовсе отправить сковородку в духовку на три минуты. Или накрыть крышкой. Яйца должны сохранить достаточно жидкий желток.",https://s1.eda.ru/StaticContent/Photos/160608133558/160616142642/p_O.jpg,69608
4,В конце необходимо посыпать яичницу рубленой петрушкой и кинзой. И подавать с лепешкой питой или белым хлебом. ,https://s1.eda.ru/StaticContent/Photos/160608133558/160616142646/p_O.jpg,69608
5,"В качестве идеального завтрака, обеда и ужина идеально подавать вместе с кофе.",https://s1.eda.ru/StaticContent/Photos/150506002001/160627120128/p_O.jpg,69608
1,Чеснок и лук мелко порезать. Масло растопить. Обжарить лук и чеснок 1-2 минуты.,https://s1.eda.ru/StaticContent/Photos/140321134811/200927220420/p_O.jpg,55603
2,Добавить очищенные креветки. Готовить 2–3 минуты.,https://s1.eda.ru/StaticContent/Photos/140321134811/200925232839/p_O.jpg,55603
3,"Приправить солью и перцем. Влить сливки, довести до кипения.",https://s1.eda.ru/StaticContent/Photos/140321134811/200925232840/p_O.jpg,55603
4,Добавить петрушку и выключить.,https://s1.eda.ru/StaticContent/Photos/140321134811/200925232842/p_O.jpg,55603
5,"Пасту отварить согласно инструкции на упаковке. Смешать с соусом. Подавать в теплом виде.
",https://s1.eda.ru/StaticContent/Photos/140321134811/200925232844/p_O.jpg,55603
1,"Говяжье филе нарезать тонкими ломтиками. Имбирь мелко нарубить, а лук нарезать тонкими полукольцами. Брокколи разобрать на соцветия и отварить в течение трех минут в кипящей воде. Охладить, чтобы соцветия не потеряли зеленый цвет.",https://s1.eda.ru/StaticContent/Photos/110816122017/170315174804/p_O.png,36638
2,Раскалить сковородку вок с растительным маслом и быстро обжарить в ней нарезанное ломтиками мясо до бронзовой корочки.,https://s1.eda.ru/StaticContent/Photos/110816122017/170315174805/p_O.png,36638
3,"Добавить в сковороду лук и имбирь, а через минуту — устричный соус и брокколи. Жарить еще минуту-две, постоянно помешивая. Снять с огня и заправить соком лимона и мелко нарубленной кинзой.",https://s1.eda.ru/StaticContent/Photos/110816122017/1703151748050/p_O.png,36638
1,"Листья шпината промыть, избавить от стеблей, если они слишком грубые, а потом мелко нарезать. Листья петрушки и кинзы обобрать от стеблей и тоже нарезать. Точно так же надо поступить с листьями мяты, зеленый лук можно избавить от белых частей и тоже нарубить. Шпината должно быть примерно втрое больше остальной зелени.",https://s1.eda.ru/StaticContent/Photos/150420184224/150424171808/p_O.jpg,50260
2,"Взять щепотку листьев тимьяна и смешать с йогуртом и слегка взбитыми яйцами. Посолить, поперчить смесь и добавить в нее всю нарезанную зелень.",https://s1.eda.ru/StaticContent/Photos/150420184224/150424171809/p_O.jpg,50260
3,Помидоры черри (опциональный шаг) сбрызнуть оливковым маслом и поставить на 20 минут в духовку.,https://s1.eda.ru/StaticContent/Photos/150420184224/150424171810/p_O.jpg,50260
4,"В глубокой сковородке слегка припустить мелко нарубленный чеснок на топленом сливочном масле. Влить в ту же сковородку смесь яиц, йогурта и зелени и поставить в духовку (180 градусов) примерно на 15–20 минут.",https://s1.eda.ru/StaticContent/Photos/150420184224/150424171811/p_O.jpg,50260
5,"Готовый зеленый омлет кюкю украсить печеными помидорами и подавать. Помидоры, кстати, можно вмешать в смесь зелени еще до запекания, но тогда они нарушат цветовую гегемонию кюкю.",https://s1.eda.ru/StaticContent/Photos/150420184224/150424171812/p_O.jpg,50260
1,"Куриную грудку надрезать вдоль и развернуть как книгу. Посолить поперчить, посыпать острым перцем, сбрызнуть растительным маслом, накрыть пленкой и дать помариноваться 10-15 минут. Обжарить на раскаленной сковороде по 2 минуты с каждой стороны. Затем переложить и дать остыть.",https://s1.eda.ru/StaticContent/Photos/120131082454/170512133928/p_O.jpg,92551
2,"Нарезать красный лук крупными дольками, сладкий перец, чили и помидоры нарезать кусками такого же размера. Чеснок нарезать мелко.",https://s1.eda.ru/StaticContent/Photos/120131082454/170512133929/p_O.jpg,92551
3,"На ту же сковороду добавить масло, и на сильном огне обжарить сначала сладкий перец, затем добавить к нему лук, чили и чеснок. Ближе к концу добавить помидоры. Овощи должны получиться с румяными зажаренными боками, но при этом оставаться хрустящими.",https://s1.eda.ru/StaticContent/Photos/120131082509/170512133929/p_O.jpg,92551
4,"Курицу нарезать крупными кусками, кинзу тоже не очень мелко. Добавить их к обжаренным овощам, посолить, поперчить, добавить сахар и полить соком лайма.",https://s1.eda.ru/StaticContent/Photos/120131082509/1705121339290/p_O.jpg,92551
5,"На сухой сковороде подогреть тортилью с обеих сторон, положить тертый сыр и начинку, сложить пополам и отправить в духовку, разогретую до 200 градусов на режиме гриля. Подпекать тортилью нужно 4-5 минут, тортильи должны стать золотистыми и хрустящими. Подавать со сметаной.",https://s1.eda.ru/StaticContent/Photos/120131082509/170512133930/p_O.jpg,92551
1,Отварить говядину в подсоленной воде. Отдельно сварить картошку и морковь.,https://s1.eda.ru/StaticContent/Photos/120505175012/181206155634/p_O.jpg,54990
2,Нарезать мясо и овощи мелким кубиком. Для красоты и гармонии ингредиенты нужно нарезать кубиками одного размера.,https://s1.eda.ru/StaticContent/Photos/120505175012/181206155636/p_O.jpg,54990
3,"Перемешать все подготовленные ингредиенты силиконовой лопаткой, чтобы не разрушить их форму. ",https://s1.eda.ru/StaticContent/Photos/120505175012/181206155637/p_O.jpg,54990
4,"Добавить майонез, посолить и поперчить по вкусу. Горошек добавить в самом конце, перед подачей, иначе в салате он может потерять форму.  При подаче посыпать мелко нашинкованным зеленым луком. ",https://s1.eda.ru/StaticContent/Photos/120505175012/181206155638/p_O.jpg,54990
1,Тщательно взбить яйца с молоком — лучше обыкновенной вилкой.,,18154
2,"Растопить на сковороде сливочное масло. Сковорода должна быть достаточно разогрета, иначе омлет не получится воздушным.",,18154
